word,meaning,commentary,example,example_meaning,Wordtype
acceptance,受け入れ,"〈U〉受け取ること,認めること,受け入れられていること;同意 
〈U〉(手形の)引受け;〈C〉引受済み手形",torn jeans received no acceptance at the country club,例のカントリークラブは、破れたジーンズでは入れない,TSL
actress,女優,〈C〉女優,The actress on the stage was heavily made up.,舞台の上の女優は濃い化粧をしていた。,TSL
additionally,さらに,"その上,さらに","Additionally, Jiun said, 'Kyoso does not exist without Jiso and Jiso does not exist without Kyoso, so that we should learn them together and try to attain Mitsugi (the Dharma of Mikkyo)(密義).'
","また、慈雲は「事相を離れて教相なく、教相を離れて事相なし、事教一致して、密義をつくすべき」と述べた。
",TSL
advertiser,広告主,"広告者,広告主","Yoshimoto hated to be called the founder of Naikan and said in his lectures, ""I'm just a showy advertiser of Naikan.""
","吉本自身は自らは創始者と呼ばれることを嫌い「わては内観のチンドン屋です」と講演などで話していた。
",TSL
affordable,【形】手ごろな価格の；入手可能な,"【形】手ごろな価格の；入手可能な
《困難などが》耐えられる
（類語：reasonable）",I hope you can join us at these very important July DCA meetings and complement your stay by exploring some of the many affordable charms of Tokyo.,この重要な７月のＤＣＡ会議にご出席いただき、さらにご宿泊中に東京の多様な魅力もお楽しみくださるよう希望しています。,TSL
afterward,その後,"『あとで』,以後,その後",I felt very light on my feet afterwards.,終わったあとも足が軽い感じがしました。,TSL
anyhow,どうせ,"《否定文で》『どうしても』,なんとしても(by any means) 
《接続詞的に》いずれにせよ,とにかく(in any case) 
どうにかこうにか","Anyhow, just why is it that I have to be sent out in the middle of the night to buy a canned drink?",だいたい何でこんな真夜中にジュース買う為にパシらされなきゃなんないんだか・・・。,TSL
anytime,どんなときも,"いつでも(at any time) 
きまって,常に","Provided you have a reservation, you can check in anytime.",もし予約があれば、いつでもチェックインできます。,TSL
artistic,芸術的,"『芸術的な』 
芸術(美術)の;芸術家(美術家)の 
美的感受性に富む,美のわかる",He turned his artistic gifts to good account by becoming a painter.,彼は画家になって芸術的な天分を生かした。,TSL
baggage,【名/U】手荷物 / おてんば娘,"〈U〉《米》《集合的に》(旅行用)『手荷物』《英》luggage) 
〈U〉軍用行李(こうり) 
〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所",She was kind enough to carry my baggage for me.,彼女は親切にも私の荷物を運んでくれた。,TSL
banker,銀行家；胴元,"『銀行家』,銀行経営者 
(ゲームの)親,胴元",The actress said that she was engaged to a banker.,その女優は銀行家と婚約したといった。,TSL
beginner,初心者,"初学者,初心者 
創始者","Tom's a beginner, but he catches on fast.",トムは初心者だが飲み込みが速い。,TSL
booklet,冊子,"小冊子,パンフレット",This booklet is free of charge.,この小冊子は無料だ。,TSL
born,生まれ,"bear〈他〉1の過去分詞(受動態にのみ用いる) 
【形】《名詞の前にのみ用いて》『生まれながらの』,先天的な(innate) 
『生まれた』；生じた",This is my little sister Sakiko. She was born the same year as me and is now studying for her exams.,妹の咲子です。俺と年子で、今受験生です。,TSL
